Strain,Stress (MPa)
0.000518631,88.20294396
0.000519392,88.28921179
0.000520152,88.37547962
0.000520913,88.46174745
0.000521673,88.54801528
0.000522434,88.63428311
0.000523194,88.72055094
0.000523955,88.80681877
0.000524715,88.8930866
0.000525475,88.97935442
0.000526236,89.06562225
0.000526996,89.15189008
0.000527757,89.23815791
0.000528517,89.32442574
0.000529278,89.41069357
0.000530038,89.4969614
0.000530799,89.58322923
0.000531559,89.66949706
0.00053232,89.75576489
0.00053308,89.84203272
0.000533841,89.92830055
0.000534601,90.01456838
0.000535362,90.10083621
0.000536122,90.18710404
0.000536882,90.31656052
0.000537643,90.44601701
0.000538403,90.57547349
0.000539164,90.70492997
0.000539924,90.83438645
0.000540685,90.96384294
0.000541445,91.09329942
0.000542205,91.2227559
0.000542966,91.35221238
0.000543726,91.48166887
0.000544487,91.61112535
0.000545247,91.74058183
0.000546008,91.87003831
0.000546768,91.9994948
0.000547529,92.12895128
0.000548289,92.25840776
0.000549049,92.38786425
0.00054981,92.51732073
0.00055057,92.64677721
0.000551331,92.77623369
0.000552091,92.90569018
0.000552852,93.03514666
0.000553612,93.16460314
0.000554372,93.29405962
0.000555133,93.42351611
0.000555893,93.55297259
0.000556654,93.68242907
0.000557414,93.81188555
0.000558175,93.94134204
0.000558935,94.07079852
0.000559695,94.17146257
0.000560456,94.27212661
0.000561216,94.37279066
0.000561977,94.47345471
0.000562737,94.57411876
0.000563498,94.6747828
0.000564258,94.77544685
0.000565019,94.8761109
0.000565779,94.97677495
0.00056654,95.07743899
0.0005673,95.17810304
0.000568061,95.27876709
0.000568821,95.37943114
0.000569582,95.48009518
0.000570342,95.58075923
0.000571102,95.68142328
0.000571863,95.78208732
0.000572623,95.88275137
0.000573384,95.98341542
0.000574144,96.08407947
0.000574905,96.18474351
0.000575665,96.28540756
0.000576426,96.38607161
0.000577186,96.48673566
0.000577947,96.5873997
0.000578707,96.68806375
0.000579468,96.7887278
0.000580228,96.88939185
0.000580989,96.99005589
0.000581749,97.09071994
0.000582129,97.19143873
0.000582509,97.29215751
0.00058289,97.3928763
0.00058327,97.49359508
0.00058365,97.59431387
0.00058403,97.69503265
0.000584411,97.79575144
0.000584791,97.89647022
0.000585171,97.99718901
0.000585551,98.09790779
0.000585932,98.19862658
0.000586312,98.29934536
0.000586692,98.40006415
0.000587072,98.50078293
0.000587453,98.60150172
0.000587833,98.70222051
0.000588213,98.80293929
0.000588593,98.90365808
0.000588973,99.00437686
0.000589354,99.10509565
0.000589734,99.20581443
0.000590114,99.30653322
0.000590494,99.407252
0.000590875,99.50797079
0.000591255,99.60868957
0.000591635,99.70940836
0.000592015,99.81012714
0.000592396,99.91084593
0.000592776,100.0115647
0.000593156,100.1122835
0.000593536,100.1986061
0.000593916,100.2849286
0.000594297,100.3712512
0.000594677,100.4575738
0.000595057,100.5438964
0.000595437,100.6302189
0.000595818,100.7165415
0.000596198,100.8028641
0.000596578,100.8891866
0.000596958,100.9755092
0.000597339,101.0618318
0.000597719,101.1481543
0.000598099,101.2344769
0.000598479,101.3207995
0.000598859,101.4071221
0.00059924,101.4934446
0.00059962,101.5797672
0.0006,101.6660898
0.00060038,101.7524123
0.000600761,101.8387349
0.000601141,101.9250575
0.000601521,102.01138
0.000601901,102.0977026
0.000602282,102.1840252
0.000602662,102.2703478
0.000603042,102.3566703
0.000603422,102.4429929
0.000603803,102.5293155
0.000604183,102.615638
0.000604563,102.7019606
0.000604943,102.773887
0.000605323,102.8458133
0.000605704,102.9177397
0.000606084,102.989666
0.000606464,103.0615924
0.000606844,103.1335187
0.000607225,103.2054451
0.000607605,103.2773714
0.000607985,103.3492978
0.000608365,103.4212241
0.000608746,103.4931505
0.000609126,103.5650768
0.000609506,103.6370032
0.000609886,103.7089295
0.000610267,103.7808559
0.000610647,103.8527822
0.000611027,103.9247086
0.000611407,103.9966349
0.000611787,104.0685613
0.000612168,104.1404876
0.000612548,104.212414
0.000612928,104.2843403
0.000613308,104.3562667
0.000613689,104.428193
0.000614069,104.5001194
0.000614449,104.5720457
0.000614829,104.6439721
0.00061521,104.7158984
0.00061559,104.7878248
0.00061597,104.8597511
0.00061673,104.9748114
0.000617491,105.0898716
0.000618251,105.2049319
0.000619012,105.3199922
0.000619772,105.4350524
0.000620533,105.5501127
0.000621293,105.6651729
0.000622053,105.7802332
0.000622814,105.8952935
0.000623574,106.0103537
0.000624335,106.125414
0.000625095,106.2404743
0.000625856,106.3555345
0.000626616,106.4705948
0.000627377,106.5856551
0.000628137,106.7007153
0.000628897,106.8157756
0.000629658,106.9308358
0.000630418,107.0458961
0.000631179,107.1609564
0.000631939,107.2760166
0.0006327,107.3910769
0.00063346,107.5061372
0.00063422,107.6211974
0.000634981,107.7362577
0.000635741,107.8513179
0.000636502,107.9663782
0.000637262,108.0814385
0.000638023,108.1964987
0.000638783,108.311559
0.000639543,108.3978268
0.000640304,108.4840947
0.000641064,108.5703625
0.000641825,108.6566303
0.000642585,108.7428982
0.000643346,108.829166
0.000644106,108.9154338
0.000644867,109.0017016
0.000645627,109.0879695
0.000646388,109.1742373
0.000647148,109.2605051
0.000647909,109.346773
0.000648669,109.4330408
0.00064943,109.5193086
0.00065019,109.6055765
0.00065095,109.6918443
0.000651711,109.7781121
0.000652471,109.8643799
0.000653232,109.9506478
0.000653992,110.0369156
0.000654753,110.1231834
0.000655513,110.2094513
0.000656274,110.2957191
0.000657034,110.3819869
0.000657795,110.4682548
0.000658555,110.5545226
0.000659316,110.6407904
0.000660076,110.7270582
0.000660837,110.8133261
0.000661597,110.8995939
0.000662357,110.9858617
0.000663118,111.0721296
0.000663878,111.1583974
0.000664639,111.2446652
0.000665399,111.3309331
0.00066616,111.4172009
0.00066692,111.5034687
0.000667681,111.5897365
0.000668441,111.6760044
0.000669202,111.7622722
0.000669962,111.84854
0.000670723,111.9348079
0.000671483,112.0210757
0.000672244,112.1073435
0.000673004,112.1936114
0.000673764,112.2798792
0.000674525,112.366147
0.000675285,112.4524148
0.000676046,112.5386827
0.000676806,112.6249505
0.000677567,112.7112183
0.000678327,112.7974862
0.000679088,112.883754
0.000679848,112.9700218
0.000680609,113.0562897
0.000681369,113.1425575
0.00068213,113.2288253
0.00068289,113.3150931
0.000683651,113.401361
0.000684411,113.4876288
0.000685171,113.5595004
0.000685932,113.631372
0.000686692,113.7032436
0.000687453,113.7751152
0.000688213,113.8469869
0.000688974,113.9188585
0.000689734,113.9907301
0.000690494,114.0626017
0.000691255,114.1344733
0.000692015,114.2063449
0.000692776,114.2782165
0.000693536,114.3500881
0.000694297,114.4219597
0.000695057,114.4938313
0.000695818,114.565703
0.000696578,114.6375746
0.000697338,114.7094462
0.000698099,114.7813178
0.000698859,114.8531894
0.00069962,114.925061
0.00070038,114.9969326
0.000701141,115.0688042
0.000701901,115.1406758
0.000702661,115.2125474
0.000703422,115.2844191
0.000704182,115.3562907
0.000704943,115.4281623
0.000705703,115.5000339
0.000706464,115.5719055
0.000707224,115.6437771
0.000707984,115.7156487
0.000708745,115.7875203
0.000709505,115.8593919
0.000710266,115.9312636
0.000711026,116.0031352
0.000711787,116.0750068
0.000712547,116.1468784
0.000713308,116.21875
0.000714068,116.2906216
0.000714829,116.3624932
0.000715589,116.4343648
0.00071635,116.5062365
0.00071711,116.5781081
0.000717871,116.6499797
0.000718631,116.7218513
0.000719391,116.7937229
0.000720152,116.8655945
0.000720912,116.9374661
0.000721673,117.0093378
0.000722433,117.0812094
0.000723194,117.153081
0.000723954,117.2249526
0.000724715,117.2968242
0.000725475,117.3686958
0.000726236,117.4405674
0.000726996,117.512439
0.000727757,117.5843107
0.000728517,117.6561823
0.000729278,117.7280539
0.000730038,117.7999255
0.000730798,117.8717971
0.000731559,117.9436687
0.000732319,118.0155403
0.00073308,118.0874119
0.00073384,118.1592836
0.000734601,118.2311552
0.000735361,118.3030268
0.000736122,118.3748984
0.000736882,118.44677
0.000737643,118.5186416
0.000738403,118.5905132
0.000739164,118.6623848
0.000739924,118.7342564
0.000740685,118.806128
0.000741445,118.8779996
0.000742205,118.9498713
0.000742966,119.0217429
0.000743726,119.0936145
0.000744487,119.1654861
0.000745247,119.2373577
0.000746008,119.3092293
0.000746768,119.3811009
0.000747529,119.4529725
0.000748289,119.5248441
0.00074905,119.5967158
0.00074981,119.6685874
0.000750571,119.740459
0.000751331,119.8123306
0.000752092,119.8842022
0.000752852,119.9560738
0.000753993,120.0278907
0.000755133,120.0997075
0.000756274,120.1715244
0.000757415,120.2433413
0.000758555,120.3151582
0.000759696,120.386975
0.000760837,120.4587919
0.000761977,120.5306088
0.000763118,120.6024257
0.000764259,120.6742425
0.000765399,120.7460594
0.00076654,120.8178763
0.000767681,120.8896932
0.000768821,120.96151
0.000769962,121.0333269
0.000771103,121.1051438
0.000772243,121.1769606
0.000773384,121.2487775
0.000774525,121.3205944
0.000775665,121.3924113
0.000776806,121.4642281
0.000777947,121.536045
0.000779087,121.6078619
